English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
april,aprile,/aprile/,That was April Fool Day.,Era un pesce d'aprile.,/ɛra ʊn peʃe daprile./,A1,Time & Quantity,"A1,Time & Quantity",
august,agosto,/aɡosto/,It was on the seventh of August.,Era il 7 agosto.,/ɛra il sɛtːe aɡosto./,A1,Time & Quantity,"A1,Time & Quantity",
december,dicembre,/ditʃɛmbre/,It was a Saturday night in December.,Era un sabato sera di dicembre.,/ɛra ʊn sabato sera dɪ ditʃɛmbre./,A1,Time & Quantity,"A1,Time & Quantity",
february,febbraio,/febːraio/,The crowning took place on February 15.,L'incoronazione è avvenuta il 15 febbraio.,/linkoronatsione e avvenuta il kwimditʃɪ febːraio./,A1,Time & Quantity,"A1,Time & Quantity",
friday,venerdì,/venerdi/,I forgot it was Friday.,Avevo dimenticato che era venerdì.,/avevo dimentikato ke ɛra venerdi./,A1,Time & Quantity,"A1,Time & Quantity",
january,gennaio,/dʒennaio/,I shall see her in January.,La vedrò a gennaio.,/la vedrɔ a dʒennaio./,A1,Time & Quantity,"A1,Time & Quantity",
july,luglio,/luʎo/,The consequences of the 14th of July were disastrous.,Le conseguenze del 14 luglio furono disastrose.,/le konseɡwɛntse del kwatːorditʃɪ luʎo fʊrono dizastroze./,A1,Time & Quantity,"A1,Time & Quantity",
june,giugno,/dʒuɲɲo/,The June weather was delicious.,Il clima di giugno è stato delizioso.,/il klima dɪ dʒuɲɲo e stato delitsjozo./,A1,Time & Quantity,"A1,Time & Quantity",
may,può,/pʊɔ/,May be a humble one!,Che sia umile!,/ke sia umile!/,A1,Time & Quantity,"A1,Time & Quantity",
monday,lunedì,/lʊnedi/,"Tom said it might be Sunday, now—maybe Monday.","Tom ha detto che potrebbe essere domenica, ora, forse lunedì.","/tɔm a detːo ke potrɛbːe ɛssere domenika, ora, forse lʊnedi./",A1,Time & Quantity,"A1,Time & Quantity",
november,novembre,/novɛmbre/,This promise was made on the 2nd of November.,Questa promessa è stata fatta il 2 novembre.,/kwesta promessa e stata fatːa il due novɛmbre./,A1,Time & Quantity,"A1,Time & Quantity",
october,ottobre,/ɔtːobre/,He did not reach Guyenne until October 22.,Raggiunse la Guyenne solo il 22 ottobre.,/radʒːunse la ɡwjɛnne solo il ventɪdue ɔtːobre./,A1,Time & Quantity,"A1,Time & Quantity",
saturday,sabato,/sabato/,On Saturday he came again.,Sabato è venuto di nuovo.,/sabato e venuto dɪ nʊɔvo./,A1,Time & Quantity,"A1,Time & Quantity",
september,settembre,/setːɛmbre/,"In September, the vintage was gathered.",A settembre è stata raccolta l'annata.,/a setːɛmbre e stata rakːɔlta lannata./,A1,Time & Quantity,"A1,Time & Quantity",
thursday,giovedì,/dʒovedi/,A Thursday be it then.,"Che sia giovedì, allora.","/ke sia dʒovedi, allora./",A1,Time & Quantity,"A1,Time & Quantity",
tuesday,martedì,/martedi/,Tuesday the boys had the same ill luck.,Martedì i ragazzi hanno avuto la stessa sfortuna.,/martedi i raɡatsːɪ anno avuto la stessa sfortuna./,A1,Time & Quantity,"A1,Time & Quantity",
wednesday,mercoledì,/merkoledi/,These Wednesdays were the happiest days of Mr.,Questi mercoledì sono stati i giorni più felici di Mr.,/kwestɪ merkoledi sono statɪ i dʒornɪ pjʊ felitʃɪ dɪ ɛmmeɛrɾe./,A1,Time & Quantity,"A1,Time & Quantity",
age,età,/eta/,And what is old age?,E cos'è la vecchiaia?,/e kozɛ la vekːjaia?/,A1,Time & Quantity,"A1,Time & Quantity",
are,sono,/sono/,The Brothers are now dead.,I Fratelli sono morti.,/i fratɛllɪ sono mɔrtɪ./,A1,Time & Quantity,"A1,Time & Quantity",
at,a,/aː/,You can come at night.,Potete venire di notte.,/potete venire dɪ nɔtːe./,A1,Time & Quantity,"A1,Time & Quantity",
autumn,autunno,/aʊtunno/,The provinces were alive with activity during this autumn.,"Durante l'autunno, le province erano piene di attività.","/dʊrante laʊtunno, le provintʃe ɛrano pjɛne dɪ atːivita./",A1,Time & Quantity,"A1,Time & Quantity",
bath,bagno,/baɲɲo/,The Buddha had a hot bath.,Il Buddha fece un bagno caldo.,/il budːa fetʃe ʊn baɲɲo kaldo./,A1,Time & Quantity,"A1,Time & Quantity",
become,diventare,/diventare/,Puṇṇa has become fully quenched.,Il Puṇṇa si è completamente spento.,/il pi u letːeːraunoeːkwatːrosɛtːe letːeːraunoeːkwatːrosɛtːe a sɪ e kompletamente spɛnto./,A1,Time & Quantity,"A1,Time & Quantity",
beginning,inizio,/initsio/,But where is the beginning?,Ma dov'è l'inizio?,/ma dovɛ linitsio?/,A1,Time & Quantity,"A1,Time & Quantity",
birthday,compleanno,/kompleanno/,He’ll be eighty-two next birthday.,Il prossimo compleanno compirà ottantadue anni.,/il prɔssimo kompleanno kompiɾa otːantadue annɪ./,A1,Time & Quantity,"A1,Time & Quantity",
block,blocco,/blɔkːo/,Who will block the streams?,Chi bloccherà i flussi?,/kɪ blokːeɾa i flussɪ?/,A1,Time & Quantity,"A1,Time & Quantity",
bottle,bottiglia,/botːiʎa/,It was the Bottle Conjuror!,È stato il Congiurato della Bottiglia!,/e stato il kondʒʊrato della botːiʎa!/,A1,Time & Quantity,"A1,Time & Quantity",
bottom,fondo,/fondo/,Have you sent to Bottom’s house?,Hai mandato a casa di Bottom?,/aj mandato a kaza dɪ botːom?/,A1,Time & Quantity,"A1,Time & Quantity",
bowl,ciotola,/tʃɔtola/,This is his bowl and robe.,Questa è la sua ciotola e la sua veste.,/kwesta ɛ la sʊa tʃɔtola e la sʊa vɛste./,A1,Time & Quantity,"A1,Time & Quantity",
box,scatola,/skatola/,Do you happen to carry a box?,Per caso ha una scatola?,/per kazo a ʊna skatola?/,A1,Time & Quantity,"A1,Time & Quantity",
break,pausa,/paʊza/,You can break his heart.,Potete spezzargli il cuore.,/potete spedzːarʎɪ il kʊɔre./,A1,Time & Quantity,"A1,Time & Quantity",
bucket,secchio,/sekːio/,"Take the bucket, will ye, Archy?","Prendi il secchio, ti dispiace, Archy?","/prɛndɪ il sekːio, tɪ dispɪaːtʃe, arkɪ?/",A1,Time & Quantity,"A1,Time & Quantity",
cent,centesimo,/tʃentɛzimo/,"It’s dear at fifty cents, ” he said.","È caro a cinquanta centesimi"", ha detto.","/e karo a tʃinkwanta tʃentɛzimɪ"", a detːo./",A1,Time & Quantity,"A1,Time & Quantity",
century,secolo,/sɛkolo/,It is nineteenth century up-to-date with a vengeance.,È il diciannovesimo secolo aggiornato con una vendetta.,/e il ditʃannovɛzimo sɛkolo adʒːornato kon ʊna vendetːa./,A1,Time & Quantity,"A1,Time & Quantity",
dark,scuro,/skuro/,What is this dark mystery?,Che cos'è questo oscuro mistero?,/ke kozɛ kwesto oskuro mistɛro?/,A1,Time & Quantity,"A1,Time & Quantity",
eight,otto,/ɔtːo/,These are the eight assemblies.,Queste sono le otto assemblee.,/kweste sono le ɔtːo assemblɛe./,A1,Time & Quantity,"A1,Time & Quantity",
eighteen,diciotto,/ditʃɔtːo/,"Eighteen-pence would do it, ’ said Mr.","Diciotto pence basterebbero"", ha detto Mr.","/ditʃɔtːo pɛntʃe basterebːero"", a detːo ɛmmeɛrɾe./",A1,Time & Quantity,"A1,Time & Quantity",
eighty,ottanta,/otːanta/,He’ll be eighty-two next birthday.,Il prossimo compleanno compirà ottantadue anni.,/il prɔssimo kompleanno kompiɾa otːantadue annɪ./,A1,Time & Quantity,"A1,Time & Quantity",
eleven,undici,/unditʃɪ/,It was late--past eleven o’clock.,"Era tardi, le undici passate.","/ɛra tardɪ, le unditʃɪ passate./",A1,Time & Quantity,"A1,Time & Quantity",
enough,abbastanza,/abːastantsa/,"Enough, Puṇṇa, let it be.","Basta, Puṇṇa, lascia che sia.","/basta, pi u letːeːraunoeːkwatːrosɛtːe letːeːraunoeːkwatːrosɛtːe a, laʃa ke sia./",A1,Time & Quantity,"A1,Time & Quantity",
euro,euro,/ɛʊro/,Can you give me a euro?,Può darmi un euro?,/pʊɔ darmɪ ʊn ɛʊro?/,A1,Time & Quantity,"A1,Time & Quantity",
even,anche,/anke/,"He was direct, blunt even.","Era diretto, addirittura schietto.","/ɛra dirɛtːo, adːiritːura skjetːo./",A1,Time & Quantity,"A1,Time & Quantity",
evening,sera,/sera/,The summer evenings were long.,Le serate estive erano lunghe.,/le serate estive ɛrano luŋɡe./,A1,Time & Quantity,"A1,Time & Quantity",
fall,caduta,/kaduta/,What is liable to fall?,Cosa rischia di cadere?,/kɔza riskia dɪ kadere?/,A1,Time & Quantity,"A1,Time & Quantity",
festival,festival,/fɛstival/,Hamburg gave a festival in our honor.,Amburgo ha organizzato un festival in nostro onore.,/amburɡo a orɡanidzːato ʊn fɛstival in nɔstro onore./,A1,Time & Quantity,"A1,Time & Quantity",
fifteen,quindici,/kwinditʃɪ/,The successive fifteen are finished.,I quindici successivi sono terminati.,/i kwinditʃɪ sʊtʃːessivɪ sono terminatɪ./,A1,Time & Quantity,"A1,Time & Quantity",
fifty,cinquanta,/tʃinkwanta/,It is nearly fifty miles.,Sono quasi cinquanta miglia.,/sono kwazɪ tʃinkwanta miʎa./,A1,Time & Quantity,"A1,Time & Quantity",
five,cinque,/tʃinkwe/,"Five pounds--well, is THAT right?","Cinque chili... beh, è giusto?","/tʃinkwe kilɪ... bɛ, e dʒusto?/",A1,Time & Quantity,"A1,Time & Quantity",
flower,fiore,/fjore/,And who has speech like flowers?,E chi ha un discorso come i fiori?,/e kɪ a ʊn diskorso kome i fjorɪ?/,A1,Time & Quantity,"A1,Time & Quantity",
forty,quaranta,/kwaɾanta/,"You shall have forty, sir.","Ne avrà quaranta, signore.","/ne avra kwaɾanta, siɲore./",A1,Time & Quantity,"A1,Time & Quantity",
four,quattro,/kwatːro/,Who may the four be?,Chi possono essere i quattro?,/kɪ pɔssono ɛssere i kwatːro?/,A1,Time & Quantity,"A1,Time & Quantity",
fourteen,quattordici,/kwatːorditʃɪ/,Fourteen years is the age.,L'età è di quattordici anni.,/leta e dɪ kwatːorditʃɪ annɪ./,A1,Time & Quantity,"A1,Time & Quantity",
full,completo,/komplɛto/,He is full of harmony.,È pieno di armonia.,/e pjɛno dɪ armonia./,A1,Time & Quantity,"A1,Time & Quantity",
glass,vetro,/vetro/,Come; a glass of punch!,Vieni; un bicchiere di punch!,/vjɛnɪ; ʊn bikːiɛre dɪ puntʃ!/,A1,Time & Quantity,"A1,Time & Quantity",
glasses,occhiali,/okːjalɪ/,"Glasses, glasses, is the only drinking.","Bicchieri, bicchieri, è l'unico modo per bere.","/bikːiɛrɪ, bikːiɛrɪ, e luniko mɔdo per bere./",A1,Time & Quantity,"A1,Time & Quantity",
hair,capelli,/kapellɪ/,He had not much hair.,Non aveva molti capelli.,/non aveva moltɪ kapellɪ./,A1,Time & Quantity,"A1,Time & Quantity",
half,metà,/meta/,Been here half an hour.,Sono qui da mezz'ora.,/sono kwi da medzːora./,A1,Time & Quantity,"A1,Time & Quantity",
holiday,vacanza,/vakantsa/,How long are the holidays?,Quanto durano le vacanze?,/kwanto durano le vakantse?/,A1,Time & Quantity,"A1,Time & Quantity",
hour,ora,/ora/,Been here half an hour.,Sono qui da mezz'ora.,/sono kwi da medzːora./,A1,Time & Quantity,"A1,Time & Quantity",
hundred,cento,/tʃɛnto/,We could count several hundreds.,Potremmo contarne diverse centinaia.,/potrɛmmo kontarne divɛrse tʃentinaia./,A1,Time & Quantity,"A1,Time & Quantity",
in,in,/iːn/,"Come in, whoever it is!","Entrate, chiunque sia!","/entrate, kjunkwe sia!/",A1,Time & Quantity,"A1,Time & Quantity",
kilometre,chilometro,/kilometro/,You have to run more than ten kilometres.,Bisogna correre per più di dieci chilometri.,/bizoɲɲa korɾere per pjʊ dɪ djɛtʃɪ kilometrɪ./,A1,Time & Quantity,"A1,Time & Quantity",
little,poco,/pɔko/,Come a little this way.,Venite un po' da questa parte.,/venite ʊn po da kwesta parte./,A1,Time & Quantity,"A1,Time & Quantity",
may,può,/pʊɔ/,May be a humble one!,Che sia umile!,/ke sia umile!/,A1,Time & Quantity,"A1,Time & Quantity",
middle,centrale,/tʃentrale/,The Middle Discourses are completed.,I Discorsi di mezzo sono terminati.,/i diskorsɪ dɪ mɛdzːo sono terminatɪ./,A1,Time & Quantity,"A1,Time & Quantity",
midnight,mezzanotte,/medzːanɔtːe/,A midnight council was called.,Fu convocato un consiglio di mezzanotte.,/fʊ konvokato ʊn konsiʎo dɪ medzːanɔtːe./,A1,Time & Quantity,"A1,Time & Quantity",
mile,miglio,/miʎo/,It is nearly fifty miles.,Sono quasi cinquanta miglia.,/sono kwazɪ tʃinkwanta miʎa./,A1,Time & Quantity,"A1,Time & Quantity",
million,milioni di euro,/milionɪ dɪ ɛʊro/,Might trust him with untold millions.,Potrebbe affidargli milioni incalcolabili.,/potrɛbːe affidarʎɪ milionɪ inkalkolabilɪ./,A1,Time & Quantity,"A1,Time & Quantity",
moment,momento,/momento/,It is of no moment.,Non ha importanza.,/non a importantsa./,A1,Time & Quantity,"A1,Time & Quantity",
month,mese,/mɛze/,I haven’t been out for many months.,Non esco da molti mesi.,/non esko da moltɪ mɛzɪ./,A1,Time & Quantity,"A1,Time & Quantity",
mountain,montagna,/montaɲɲa/,The Sneffels mountain has many craters.,Il monte Sneffels presenta numerosi crateri.,/il monte zneffels prezɛnta nʊmerozɪ kratɛrɪ./,A1,Time & Quantity,"A1,Time & Quantity",
much,molto,/molto/,Have you--have you suffered much?,Avete... avete sofferto molto?,/avete... avete soffɛrto molto?/,A1,Time & Quantity,"A1,Time & Quantity",
nine,nove,/nɔve/,The clock has just struck nine.,L'orologio ha appena suonato le nove.,/lorolodʒo a apːena sʊonato le nɔve./,A1,Time & Quantity,"A1,Time & Quantity",
nineteen,diciannove,/ditʃannɔve/,"Nicholas is very nearly nineteen, ’ replied the widow.","Nicholas ha quasi diciannove anni"", rispose la vedova.","/nikolas a kwazɪ ditʃannɔve annɪ"", rispoze la vedova./",A1,Time & Quantity,"A1,Time & Quantity",
ninety,novanta,/novanta/,"Did she die at ninety, guv’ner?","È morta a novant'anni, capo?","/e mɔrta a novantannɪ, kapo?/",A1,Time & Quantity,"A1,Time & Quantity",
nothing,nulla,/nulla/,It is nothing to me.,Per me non è niente.,/per me non e njɛnte./,A1,Time & Quantity,"A1,Time & Quantity",
now,ora,/ora/,The Brothers are now dead.,I Fratelli sono morti.,/i fratɛllɪ sono mɔrtɪ./,A1,Time & Quantity,"A1,Time & Quantity",
old,vecchio,/vɛkːio/,And what is old age?,E cos'è la vecchiaia?,/e kozɛ la vekːjaia?/,A1,Time & Quantity,"A1,Time & Quantity",
one,uno,/uno/,And you really want one?,E ne vuoi davvero uno?,/e ne vʊɔi davvero uno?/,A1,Time & Quantity,"A1,Time & Quantity",
over,oltre,/oltre/,The warlike days are over.,I giorni di guerra sono finiti.,/i dʒornɪ dɪ ɡwɛrɾa sono finitɪ./,A1,Time & Quantity,"A1,Time & Quantity",
pair,coppia,/kɔpːia/,Have you a good pair of legs?,Avete un bel paio di gambe?,/avete ʊn bɛl paio dɪ ɡambe?/,A1,Time & Quantity,"A1,Time & Quantity",
real,reale,/reale/,The real issue was Spain.,Il vero problema era la Spagna.,/il vero problɛma ɛra la spaɲɲa./,A1,Time & Quantity,"A1,Time & Quantity",
room,camera,/kamera/,It was his own room.,Era la sua stanza.,/ɛra la sʊa stantsa./,A1,Time & Quantity,"A1,Time & Quantity",
school,scuola,/skʊɔla/,"Now, where is this boarding-school?",Dove si trova questo collegio?,/dove sɪ trɔva kwesto kollɛdʒo?/,A1,Time & Quantity,"A1,Time & Quantity",
sea,mare,/mare/,Richmond is on the seas.,Richmond è sul mare.,/rikmond e sʊl mare./,A1,Time & Quantity,"A1,Time & Quantity",
seven,sette,/sɛtːe/,There were seven—an imperial suite.,"Erano sette, una suite imperiale.","/ɛrano sɛtːe, ʊna sʊite imperiale./",A1,Time & Quantity,"A1,Time & Quantity",
seventeen,diciassette,/ditʃassɛtːe/,She was not past seventeen.,Non aveva superato i diciassette anni.,/non aveva sʊperato i ditʃassɛtːe annɪ./,A1,Time & Quantity,"A1,Time & Quantity",
seventy,settanta,/setːanta/,The group of seventy-five is finished.,Il gruppo di settantacinque persone è finito.,/il ɡrupːo dɪ setːantatʃinkwe persone e finito./,A1,Time & Quantity,"A1,Time & Quantity",
six,sei,/sɛi/,This person has six elements.,Questa persona ha sei elementi.,/kwesta persona a sɛi elementɪ./,A1,Time & Quantity,"A1,Time & Quantity",
sixteen,sedici,/seditʃɪ/,She will be married at sixteen!,Si sposerà a sedici anni!,/sɪ spozeɾa a seditʃɪ annɪ!/,A1,Time & Quantity,"A1,Time & Quantity",
sixty,sessanta,/sessanta/,That his age was about sixty.,Che la sua età era di circa sessant'anni.,/ke la sʊa eta ɛra dɪ tʃirka sessantannɪ./,A1,Time & Quantity,"A1,Time & Quantity",
sleep,dormire,/dormire/,Afraid to go to sleep!,Paura di andare a dormire!,/paʊra dɪ andare a dormire!/,A1,Time & Quantity,"A1,Time & Quantity",
spend,spendere,/spɛndere/,Do you want to spend anything now?,Vuoi spendere qualcosa adesso?,/vʊɔi spɛndere kwalkɔza adɛsso?/,A1,Time & Quantity,"A1,Time & Quantity",
spring,primavera,/primavɛra/,"Spring had come, —was in full tide.","La primavera era arrivata, era in piena marea.","/la primavɛra ɛra arɾivata, ɛra in pjɛna marɛa./",A1,Time & Quantity,"A1,Time & Quantity",
summer,estate,/estate/,Is summer good to him?,L'estate è buona per lui?,/lestate e bʊɔna per lui?/,A1,Time & Quantity,"A1,Time & Quantity",
ten,dieci,/djɛtʃɪ/,These are the ten fetters.,Queste sono le dieci catene.,/kweste sono le djɛtʃɪ katene./,A1,Time & Quantity,"A1,Time & Quantity",
then,allora,/allora/,The journey was then resumed.,Il viaggio è poi ripreso.,/il vjadʒːo e pɔi riprezo./,A1,Time & Quantity,"A1,Time & Quantity",
thirteen,tredici,/treditʃɪ/,The group of thirteen is finished.,Il gruppo dei tredici è finito.,/il ɡrupːo deɪ treditʃɪ e finito./,A1,Time & Quantity,"A1,Time & Quantity",
thirty,trenta,/trenta/,"It’s been thirty years, householder.","Sono passati trent'anni, padrone di casa.","/sono passatɪ trentaːnnɪ, padrone dɪ kaza./",A1,Time & Quantity,"A1,Time & Quantity",
thousand,mille,/mille/,"I beg a thousand pardons, ’ said Mr.","Chiedo mille scuse"", ha detto Mr.","/kjedo mille skuze"", a detːo ɛmmeɛrɾe./",A1,Time & Quantity,"A1,Time & Quantity",
three,tre,/tre/,It is now three o’clock.,Sono le tre del pomeriggio.,/sono le tre del pomeridʒːo./,A1,Time & Quantity,"A1,Time & Quantity",
time,tempo,/tɛmpo/,These are the four times.,Questi sono i quattro tempi.,/kwestɪ sono i kwatːro tɛmpɪ./,A1,Time & Quantity,"A1,Time & Quantity",
today,oggi,/ɔdʒːɪ/,Do you expect them today?,Li aspettate oggi?,/lɪ aspetːate ɔdʒːɪ?/,A1,Time & Quantity,"A1,Time & Quantity",
tomorrow,domani,/domanɪ/,"We will try, tomorrow morning.","Ci proveremo, domani mattina.","/tʃɪ proverɛmo, domanɪ matːina./",A1,Time & Quantity,"A1,Time & Quantity",
tonight,stasera,/sta sera/,How dull you are tonight!,Come sei noioso stasera!,/kome sɛi noiozo sta sera!/,A1,Time & Quantity,"A1,Time & Quantity",
top,top,/tɔp/,"Those at the top are ""off.","Quelli in alto sono ""spenti"".","/kwellɪ in alto sono ""spɛntɪ""./",A1,Time & Quantity,"A1,Time & Quantity",
twelve,dodici,/doditʃɪ/,There are twelve kinds of reopening.,Esistono dodici tipi di riapertura.,/ezistono doditʃɪ tipɪ dɪ riapertura./,A1,Time & Quantity,"A1,Time & Quantity",
twenty,venti,/vɛntɪ/,Are you twenty years old?,Hai vent'anni?,/aj ventannɪ?/,A1,Time & Quantity,"A1,Time & Quantity",
two,due,/due/,The regular chummage is two-and-six.,Il chummage regolare è di due e sei.,/il tʃʊmmadʒe reɡolare e dɪ due e sɛi./,A1,Time & Quantity,"A1,Time & Quantity",
vacation,vacanza,/vakantsa/,"Three months' vacation, --how I shall enjoy it!","Tre mesi di vacanza, - come me li godrò!","/tre mɛzɪ dɪ vakantsa, kome me lɪ ɡodrɔ!/",A1,Time & Quantity,"A1,Time & Quantity",
wait,attendere,/atːɛndere/,"I can wait, ’ said Ralph.","Posso aspettare"", disse Ralph.","/pɔsso aspetːare"", disse ralf./",A1,Time & Quantity,"A1,Time & Quantity",
way,modo,/mɔdo/,You are going that way?,Stai andando da quella parte?,/staj andando da kwella parte?/,A1,Time & Quantity,"A1,Time & Quantity",
week,settimana,/setːimana/,It is a question of weeks.,È una questione di settimane.,/e ʊna kwestjone dɪ setːimane./,A1,Time & Quantity,"A1,Time & Quantity",
weekend,fine settimana,/fine setːimana/,Ziri is rather bored on weekends.,Ziri è piuttosto annoiato nei fine settimana.,/dzirɪ e pjʊtːɔsto annoiato nei fine setːimana./,A1,Time & Quantity,"A1,Time & Quantity",
window,finestra,/finɛstra/,They were just visible from her window.,Erano appena visibili dalla sua finestra.,/ɛrano apːena vizibilɪ dalla sʊa finɛstra./,A1,Time & Quantity,"A1,Time & Quantity",
winter,inverno,/invɛrno/,The winter grain was frozen in the furrows.,Il grano invernale era congelato nei solchi.,/il ɡrano invernale ɛra kondʒelato nei solkɪ./,A1,Time & Quantity,"A1,Time & Quantity",
yard,cortile,/kortile/,He may not by the yard.,Non è detto che lo faccia per il cortile.,/non e detːo ke lo fatʃːa per il kortile./,A1,Time & Quantity,"A1,Time & Quantity",
year,anno,/anno/,The year is not given.,L'anno non è indicato.,/lanno non e indikato./,A1,Time & Quantity,"A1,Time & Quantity",
yesterday,ieri,/jɛrɪ/,Yes; I saw it yesterday.,"Sì, l'ho visto ieri.","/siː, lo visto jɛrɪ./",A1,Time & Quantity,"A1,Time & Quantity",
