"Italian","English Translation","IPA"
"È l'una.","It's 1 o'clock.","[ɛ ˈluna]"
"È l'una del pomeriggio.","It's 1 in the afternoon.","[ɛ ˈluna del pomeˈridʒo]"
"È l'una e un quarto.","It's 1:15.","[ɛ ˈluna e un ˈkwarto]"
"È l'una e mezza.","It's 1:30.","[ɛ ˈluna e ˈmɛddza]"
"Sono le due meno un quarto.","It's 1:45.","[ˈsono le ˈdu.e ˈmeno un ˈkwarto]"
"È l'una meno un quarto.","It's 12:45.","[ɛ ˈluna ˈmeno un ˈkwarto]"
"È l'una meno un quarto.","It's 24:45.","[ɛ ˈluna ˈmeno un ˈkwarto]"
"Sono le due e un quarto.","It's 2:15.","[ˈsono le ˈdu.e e un ˈkwarto]"
"Sono le due e mezza.","It's 2:30.","[ˈsono le ˈdu.e e ˈmɛddza]"
"Sono le tre meno un quarto.","It's 2:45.","[ˈsono le ˈtrɛ ˈmeno un ˈkwarto]"
"Sono le due.","It's 2 o'clock.","[ˈsono le ˈdu.e]"
"Sono le tre e un quarto.","It's 3:15.","[ˈsono le ˈtrɛ e un ˈkwarto]"
"Sono le tre e mezza.","It's 3:30.","[ˈsono le ˈtrɛ e ˈmɛddza]"
"Sono le quattro meno un quarto.","It's 3:45.","[ˈsono le ˈkwattro ˈmeno un ˈkwarto]"
"Sono le tre.","It's 3 o'clock.","[ˈsono le ˈtrɛ]"
"Sono le quattro e un quarto.","It's 4:15.","[ˈsono le ˈkwattro e un ˈkwarto]"
"Sono le quattro e mezza.","It's 4:30.","[ˈsono le ˈkwattro e ˈmɛddza]"
"Sono le cinque meno un quarto.","It's 4:45.","[ˈsono le ˈtʃiŋkwe ˈmeno un ˈkwarto]"
"Sono le quattro.","It's 4 o'clock.","[ˈsono le ˈkwattro]"
"Sono le cinque e un quarto.","It's 5:15.","[ˈsono le ˈtʃiŋkwe e un ˈkwarto]"
"Sono le cinque e mezza.","It's 5:30.","[ˈsono le ˈtʃiŋkwe e ˈmɛddza]"
"Sono le sei meno un quarto.","It's 5:45.","[ˈsono le ˈsɛi ˈmeno un ˈkwarto]"
"Sono le cinque.","It's 5 o'clock.","[ˈsono le ˈtʃiŋkwe]"
"Sono le sei e un quarto.","It's 6:15.","[ˈsono le ˈsɛi e un ˈkwarto]"
"Sono le sei e mezza.","It's 6:30.","[ˈsono le ˈsɛi e ˈmɛddza]"
"Sono le sette meno un quarto.","It's 6:45.","[ˈsono le ˈsɛtte ˈmeno un ˈkwarto]"
"Sono le sei.","It's 6 o'clock.","[ˈsono le ˈsɛi]"
"Sono le sette e un quarto.","It's 7:15.","[ˈsono le ˈsɛtte e un ˈkwarto]"
"Sono le sette e mezza.","It's 7:30.","[ˈsono le ˈsɛtte e ˈmɛddza]"
"Sono le otto meno un quarto.","It's 7:45.","[ˈsono le ˈɔtto ˈmeno un ˈkwarto]"
"Sono le sette.","It's 7 o'clock.","[ˈsono le ˈsɛtte]"
"Sono le otto e un quarto.","It's 8:15.","[ˈsono le ˈɔtto e un ˈkwarto]"
"Sono le otto e mezza.","It's 8:30.","[ˈsono le ˈɔtto e ˈmɛddza]"
"Sono le nove meno un quarto.","It's 8:45.","[ˈsono le ˈnɔve ˈmeno un ˈkwarto]"
"Sono le otto.","It's 8 o'clock.","[ˈsono le ˈɔtto]"
"Sono le nove e un quarto.","It's 9:15.","[ˈsono le ˈnɔve e un ˈkwarto]"
"Sono le nove e mezza.","It's 9:30.","[ˈsono le ˈnɔve e ˈmɛddza]"
"Sono le dieci meno un quarto.","It's 9:45.","[ˈsono le ˈdjɛtʃi ˈmeno un ˈkwarto]"
"Sono le nove.","It's 9 o'clock.","[ˈsono le ˈnɔve]"
"Sono le dieci e un quarto.","It's 10:15.","[ˈsono le ˈdjɛtʃi e un ˈkwarto]"
"Sono le dieci e mezza.","It's 10:30.","[ˈsono le ˈdjɛtʃi e ˈmɛddza]"
"Sono le undici meno un quarto.","It's 10:45.","[ˈsono le ˈunditʃi ˈmeno un ˈkwarto]"
"Sono le dieci.","It's 10 o'clock.","[ˈsono le ˈdjɛtʃi]"
"Sono le undici e un quarto.","It's 11:15.","[ˈsono le ˈunditʃi e un ˈkwarto]"
"Sono le undici e mezza.","It's 11:30.","[ˈsono le ˈunditʃi e ˈmɛddza]"
"Sono le dodici meno un quarto.","It's 11:45.","[ˈsono le ˈdɔditʃi ˈmeno un ˈkwarto]"
"Sono le undici.","It's 11 o'clock.","[ˈsono le ˈunditʃi]"
"È mezzogiorno.","It's noon.","[ɛ mettsodʒorˈno]"
"È mezzanotte.","It's midnight.","[ɛ mettsaˈnɔtte]"
"Sono le dodici e un quarto.","It's 12:15.","[ˈsono le ˈdɔditʃi e un ˈkwarto]"
"Sono le dodici e mezza.","It's 12:30.","[ˈsono le ˈdɔditʃi e ˈmɛddza]"
"Sono le tredici.","It's 13:00.","[ˈsono le ˈtreditʃi]"
"Sono le tredici e un quarto.","It's 13:15.","[ˈsono le ˈtreditʃi e un ˈkwarto]"
"Sono le tredici e mezza.","It's 13:30.","[ˈsono le ˈtreditʃi e ˈmɛddza]"
"Sono le quattordici meno un quarto.","It's 13:45.","[ˈsono le kwattorˈditʃi ˈmeno un ˈkwarto]"
"Sono le quattordici.","It's 14:00.","[ˈsono le kwattorˈditʃi]"
"Sono le quattordici e un quarto.","It's 14:15.","[ˈsono le kwattorˈditʃi e un ˈkwarto]"
"Sono le quattordici e mezza.","It's 14:30.","[ˈsono le kwattorˈditʃi e ˈmɛddza]"
"Sono le quindici meno un quarto.","It's 14:45.","[ˈsono le ˈkwinditʃi ˈmeno un ˈkwarto]"
"Sono le quindici.","It's 15:00.","[ˈsono le ˈkwinditʃi]"
"Sono le quindici e un quarto.","It's 15:15.","[ˈsono le ˈkwinditʃi e un ˈkwarto]"
"Sono le quindici e mezza.","It's 15:30.","[ˈsono le ˈkwinditʃi e ˈmɛddza]"
"Sono le sedici meno un quarto.","It's 15:45.","[ˈsono le ˈseditʃi ˈmeno un ˈkwarto]"
"Sono le sedici.","It's 16:00.","[ˈsono le ˈseditʃi]"
"Sono le sedici e un quarto.","It's 16:15.","[ˈsono le ˈseditʃi e un ˈkwarto]"
"Sono le sedici e mezza.","It's 16:30.","[ˈsono le ˈseditʃi e ˈmɛddza]"
"Sono le diciassette meno un quarto.","It's 16:45.","[ˈsono le ditʃasˈsɛtte ˈmeno un ˈkwarto]"
"Sono le diciassette.","It's 17:00.","[ˈsono le ditʃasˈsɛtte]"
"Sono le diciassette e un quarto.","It's 17:15.","[ˈsono le ditʃasˈsɛtte e un ˈkwarto]"
"Sono le diciassette e mezza.","It's 17:30.","[ˈsono le ditʃasˈsɛtte e ˈmɛddza]"
"Sono le diciotto meno un quarto.","It's 17:45.","[ˈsono le ditʃiˈɔtto ˈmeno un ˈkwarto]"
"Sono le diciotto.","It's 18:00.","[ˈsono le ditʃiˈɔtto]"
"Sono le diciotto e un quarto.","It's 18:15.","[ˈsono le ditʃiˈɔtto e un ˈkwarto]"
"Sono le diciotto e mezza.","It's 18:30.","[ˈsono le ditʃiˈɔtto e ˈmɛddza]"
"Sono le diciannove meno un quarto.","It's 18:45.","[ˈsono le ditʃanˈnɔve ˈmeno un ˈkwarto]"
"Sono le diciannove.","It's 19:00.","[ˈsono le ditʃanˈnɔve]"
"Sono le diciannove e un quarto.","It's 19:15.","[ˈsono le ditʃanˈnɔve e un ˈkwarto]"
"Sono le diciannove e mezza.","It's 19:30.","[ˈsono le ditʃanˈnɔve e ˈmɛddza]"
"Sono le venti meno un quarto.","It's 19:45.","[ˈsono le ˈventi ˈmeno un ˈkwarto]"
"Sono le venti.","It's 20:00.","[ˈsono le ˈventi]"
"Sono le venti e un quarto.","It's 20:15.","[ˈsono le ˈventi e un ˈkwarto]"
"Sono le venti e mezza.","It's 20:30.","[ˈsono le ˈventi e ˈmɛddza]"
"Sono le ventuno meno un quarto.","It's 20:45.","[ˈsono le venˈtuːno ˈmeno un ˈkwarto]"
"Sono le ventuno.","It's 21:00.","[ˈsono le venˈtuːno]"
"Sono le ventuno e un quarto.","It's 21:15.","[ˈsono le venˈtuːno e un ˈkwarto]"
"Sono le ventuno e mezza.","It's 21:30.","[ˈsono le venˈtuːno e ˈmɛddza]"
"Sono le ventidue meno un quarto.","It's 21:45.","[ˈsono le ventiˈdue ˈmeno un ˈkwarto]"
"Sono le ventidue.","It's 22:00.","[ˈsono le ventiˈdue]"
"Sono le ventidue e un quarto.","It's 22:15.","[ˈsono le ventiˈdue e un ˈkwarto]"
"Sono le ventidue e mezza.","It's 22:30.","[ˈsono le ventiˈdue e ˈmɛddza]"
"Sono le ventitré meno un quarto.","It's 22:45.","[ˈsono le ventiˈtrɛ ˈmeno un ˈkwarto]"
"Sono le ventitré.","It's 23:00.","[ˈsono le ventiˈtrɛ]"
"Sono le ventitré e un quarto.","It's 23:15.","[ˈsono le ventiˈtrɛ e un ˈkwarto]"
"Sono le ventitré e mezza.","It's 23:30.","[ˈsono le ventiˈtrɛ e ˈmɛddza]"
"Sono le ventiquattro meno un quarto.","It's 23:45.","[ˈsono le ventiˈkwattro ˈmeno un ˈkwarto]"
"Sono le ventiquattro.","It's 24:00.","[ˈsono le ventiˈkwattro]"
"Sono le ventiquattro e un quarto.","It's 24:15.","[ˈsono le ventiˈkwattro e un ˈkwarto]"
"Sono le ventiquattro e mezza.","It's 24:30.","[ˈsono le ventiˈkwattro e ˈmɛddza]"
"Poco fa.","A moment ago.","[ˈpɔːko fa]"
"Tra poco.","In a little while.","[tra ˈpɔːko]"
"Tardi.","Late.","[ˈtardi]"
"Presto.","Early.","[ˈprɛsto]"
"Presto.","Soon.","[ˈprɛsto]"
"Fuori tempo.","Out of time.","[ˈfwɔri ˈtɛmpo]"
"Il tempo vola.","Time flies.","[il ˈtɛmpo ˈvoːla]"
"Giusto in tempo.","In the nick of time.","[ˈdʒusto in ˈtɛmpo]"
"In anticipo.","Ahead of time.","[in anˈtiːtʃipo]"
"Verso le tre.","Around 3pm.","[ˈvɛrso le ˈtre]"
"Mangio all'una.","I eat at 1pm.","[ˈmandʒo alˈluːna]"
"Vado a dormire alle dieci.","I go to bed at 10.","[ˈvaːdo a dorˈmire ˈalle ˈdjɛtʃi]"
"Mi sveglio alle sette.","I wake up at 7.","[mi ˈzvɛʎʎo ˈalle ˈsɛtte]"
"Ci vediamo alle cinque.","I'll see you at 5 o'clock.","[tʃi veˈdjaːmo ˈalle ˈtʃiŋkwe]"
"Ci vediamo verso mezzogiorno.","Let's meet around noon.","[tʃi veˈdjaːmo ˈvɛrso ˌmɛddzoˈdʒorno]"
"Sai che ore sono?","Do you know what time it is?","[sai ke ˈoːre ˈsono]"
"A che ora vai a dormire?","What time do you go to sleep?","[a ke ˈoːra ˈvai a dorˈmire]"
"Che ore sono?","What time is it?","[ke ˈoːre ˈsono]"
"A che ora ci vediamo?","What time should we meet?","[a ke ˈoːra tʃi veˈdjaːmo]"
"Quando arriva l'autobus?","When does the bus arrive?","[ˈkwando arˈriːva ˈlautubus]"
"Alle cinque.","At 5:00.","[ˈalle ˈtʃiŋkwe]"
"Alle cinque in punto.","At 5 sharp.","[ˈalle ˈtʃiŋkwe in ˈpunto]"
"Alle sette e mezza.","At 7:30.","[ˈalle ˈsɛtte e ˈmɛddza]"
"Sveglia.","Alarm.","[ˈzvɛʎʎa]"
"Orologio.","Clock.","[oroˈlɔdʒo]"
"Lancetta delle ore.","Hour hand.","[lanˈtʃetta ˈdɛlle ˈoːre]"
"Lancetta dei minuti.","Minute hand.","[lanˈtʃetta dei miˈnuti]"
"Timer.","Timer.","[ˈtaimer]"
"Orologio da polso.","Watch.","[oroˈlɔdʒo da ˈpolso]"
"Ci vogliono cinque minuti.","It takes five minutes.","[tʃi ˈvɔʎʎono ˈtʃiŋkwe miˈnuti]"
"Ci vuole un'ora.","It takes an hour.","[tʃi ˈvwɔle unˈoːra]"
"Per due ore.","For two hours.","[per ˈduːe ˈoːre]"
"Fra dieci minuti.","In ten minutes.","[fra ˈdjɛtʃi miˈnuti]"
